パート,種類,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
文法,二択,We ( ) math.,study,is,,,study,主語が We なので s はつけない。
文法,二択,We ( ) an apple.,want,wants,,,want,主語が We なので s はつけない。
文法,二択,It is ( ) bag.（あなたの、あなたたちの）,your,you,,,your,「あなたの」も「あなたたちの」も your。
文法,二択,I have five ( ).,cat,cats,,,cats,2つ以上は複数形。
文法,二択,I ( ) play with dogs.,don't,aren't,,,don't,一般動詞の否定は do not。
文法,二択,I ( ) an apple.,want,wants,,,want,主語が I なので s はつけない。
文法,二択,( ) you have a bike?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,They ( ) comics.,read,reads,,,read,主語が They なので s はつけない。
文法,二択,( ) you like music?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,You ( ) a pen.,have,has,,,have,主語が You なので s はつけない。
文法,二択,You ( ) a student.,am,are,,,are,主語が you のとき be 動詞は are。
文法,二択,This ( ) a student.,is,are,,,is,主語が単数なので is。
文法,二択,This is ( ) pen.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,They are ( ) bike.（彼らの）,their,your,,,their,「彼らの」は their。
文法,二択,They ( ) curry and rice.,cook,cooks,,,cook,主語が They なので s はつけない。
文法,二択,I ( ) comics.,read,reads,,,read,主語が I なので s はつけない。
文法,二択,I ( ) a bike.,have,has,,,have,主語が I なので s はつけない。
文法,二択,She ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,Ken and I ( ) friends.,is,are,,,are,複数の主語なので are。
文法,二択,I ( ) the guitar.,play,plays,,,play,主語が I なので s はつけない。
文法,二択,It is ( ) bike.（私たちの）,our,your,,,our,「私たちの」は our。
文法,二択,"Do you like tennis? ― Yes, I ( ).",do,am,,,do,Do の疑問文には do で答える。
文法,二択,He ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,You ( ) water.,need,needs,,,need,主語が You なので s はつけない。
文法,二択,I ( ) a student.,am,are,,,am,主語が I のとき be 動詞は am。
文法,二択,You ( ) a banana.,want,wants,,,want,主語が You なので s はつけない。
文法,二択,They ( ) a banana.,want,wants,,,want,主語が They なので s はつけない。
文法,二択,You ( ) baseball.,play,plays,,,play,主語が You なので s はつけない。
文法,二択,They ( ) bananas.,eat,eats,,,eat,主語が They なので s はつけない。
文法,二択,We ( ) science.,like,likes,,,like,主語が We なので s はつけない。
文法,二択,They ( ) a pen.,have,has,,,have,主語が They なので s はつけない。
文法,二択,He ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,You ( ) curry and rice.,cook,cooks,,,cook,主語が You なので s はつけない。
文法,二択,They ( ) apples.,like,likes,,,like,主語が They なので s はつけない。
文法,二択,This is ( ) pen.（私の）,my,I,,,my,「私の」は my。
文法,二択,He ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,That ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,We ( ) a pen.,have,has,,,have,主語が We なので s はつけない。
文法,二択,You ( ) lunch.,eat,eats,,,eat,主語が You なので s はつけない。
文法,二択,I ( ) lunch.,eat,eats,,,eat,主語が I なので s はつけない。
文法,二択,You ( ) soccer.,play,plays,,,play,主語が You なので s はつけない。
文法,二択,That is ( ) bike.（私の）,my,I,,,my,「私の」は my。
文法,二択,I ( ) music.,like,likes,,,like,主語が I なので s はつけない。
文法,二択,My teacher ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,This is ( ) bike.（私たちの）,our,my,,,our,「私たちの」は our。
文法,二択,You ( ) comics.,read,reads,,,read,主語が You なので s はつけない。
文法,二択,I ( ) a cat.,have,has,,,have,主語が I なので s はつけない。
文法,二択,They ( ) soccer.,play,plays,,,play,主語が They なので s はつけない。
文法,二択,We ( ) friends.,is,are,,,are,複数の主語なので are。
文法,二択,Their teachers ( ) Mr. Hiruma and Ms. Yokota.,are,is,,,are,主語が単数なので is。
文法,二択,They ( ) lunch.,eat,eats,,,eat,主語が They なので s はつけない。
文法,二択,( ) you like math?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,( ) you like apples?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,They ( ) the piano.,play,plays,,,play,主語が They なので s はつけない。
文法,二択,Their teacher ( ) my father.,is,are,,,is,主語が単数なので is。
文法,二択,They ( ) books.,read,reads,,,read,主語が They なので s はつけない。
文法,二択,That ( ) a student.,is,are,,,is,主語が単数なので is。
文法,二択,I ( ) Japanese.,study,studies,,,study,主語が I なので s はつけない。
文法,二択,They ( ) friends.,is,are,,,are,複数の主語なので are。
文法,二択,They ( ) a dog.,have,has,,,have,主語が They なので s はつけない。
文法,二択,You ( ) apples.,like,likes,,,like,主語が You なので s はつけない。
文法,二択,I ( ) apples.,like,likes,,,like,主語が I なので s はつけない。
文法,二択,My friends ( ) nice.,is,are,,,are,主語が複数なので are。
文法,二択,"Do you like dogs? ― Yes, I ( ).",do,am,,,do,Do の疑問文には do で答える。
文法,二択,( ) you like dogs?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,This is ( ) bag.（私の）,my,your,,,my,「私の」は my。
文法,二択,They ( ) good friends.,is,are,,,are,複数の主語なので are。
文法,二択,My teacher ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,I ( ) English.,study,studies,,,study,主語が I なので s はつけない。
文法,二択,You ( ) English.,study,studies,,,study,主語が You なので s はつけない。
文法,二択,We ( ) dogs.,like,likes,,,like,主語が We なので s はつけない。
文法,二択,You ( ) the guitar.,play,plays,,,play,主語が You なので s はつけない。
文法,二択,I ( ) tennis.,play,plays,,,play,主語が I なので s はつけない。
文法,二択,We ( ) books.,read,reads,,,read,主語が We なので s はつけない。
文法,二択,You ( ) tennis.,play,plays,,,play,主語が You なので s はつけない。
文法,二択,I ( )  listen to music.,don't,aren't,,,don't,一般動詞の否定は don't (do not)。
文法,二択,We ( ) a book.,have,has,,,have,主語が We なので s はつけない。
文法,二択,You ( )  grow carrots.,don't,aren't,,,don't,一般動詞の否定は don't (do not)。
文法,二択,( ) you have a cat?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,You ( ) books.,read,reads,,,read,主語が You なので s はつけない。
文法,二択,I ( ) a book.,have,has,,,have,主語が I なので s はつけない。
文法,二択,We ( ) English.,study,studies,,,study,主語が We なので s はつけない。
文法,二択,We ( ) a banana.,want,is,,,want,主語が We なので s はつけない。
文法,二択,She ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,You ( ) a dog.,have,has,,,have,主語が You なので s はつけない。
文法,二択,Ken and I ( ) students.,is,are,,,are,複数の主語なので are。
文法,二択,They ( ) math.,study,studies,,,study,主語が They なので s はつけない。
文法,二択,We ( ) the guitar.,play,plays,,,play,主語が We なので s はつけない。
文法,二択,They ( ) a book.,have,has,,,have,主語が They なので s はつけない。
文法,二択,They ( ) English.,study,studies,,,study,主語が They なので s はつけない。
文法,二択,I ( ) a dog.,have,has,,,have,主語が I なので s はつけない。
文法,二択,I ( ) bananas.,eat,eats,,,eat,主語が I なので s はつけない。
文法,二択,You ( ) strong.,am,are,,,are,主語が you のとき be 動詞は are。
文法,二択,My teacher ( ) a student.,is,are,,,is,主語が単数なので is。
文法,二択,That is ( ) bag.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,I ( ) dogs.,like,likes,,,like,主語が I なので s はつけない。
文法,二択,You and I ( ) good friends.,is,are,,,are,複数の主語なので are。
文法,二択,You and I ( ) friends.,is,are,,,are,複数の主語なので are。
文法,二択,I ( ) kind.,am,are,,,am,主語が I のとき be 動詞は am。
文法,二択,We ( ) good friends.,is,are,,,are,複数の主語なので are。
文法,二択,We ( ) the piano.,play,plays,,,play,主語が We なので s はつけない。
文法,二択,You ( ) a cat.,have,has,,,have,主語が You なので s はつけない。
文法,二択,I ( ) from Osaka.,am,are,,,am,主語が I のとき be 動詞は am。
文法,二択,We ( ) bananas.,eat,eats,,,eat,主語が We なので s はつけない。
文法,二択,This ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,We ( ) lunch.,eat,eats,,,eat,主語が We なので s はつけない。
文法,二択,I ( ) baseball.,play,plays,,,play,主語が I なので s はつけない。
文法,二択,We ( ) students.,is,are,,,are,複数の主語なので are。
文法,二択,That ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,Dogs ( ) nice.,is,are,,,are,主語が複数なので are。
文法,二択,"Do you like apples? ― Yes, I ( ).",do,am,,,do,Do の疑問文には do で答える。
文法,二択,I ( ) curry and rice.,cook,cooks,,,cook,主語が I なので s はつけない。
文法,二択,We ( ) music.,like,likes,,,like,主語が We なので s はつけない。
文法,二択,I have four ( ).,cat,cats,,,cats,2つ以上は複数形。
文法,二択,They ( ) dogs.,like,likes,,,like,主語が They なので s はつけない。
文法,二択,( ) you have a book?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,You ( ) an apple.,want,wants,,,want,主語が You なので s はつけない。
文法,二択,We ( ) a cat.,have,has,,,have,主語が We なので s はつけない。
文法,二択,That ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,They ( ) an apple.,want,wants,,,want,主語が They なので s はつけない。
文法,二択,You ( ) the piano.,play,plays,,,play,主語が You なので s はつけない。
文法,二択,You ( ) a bike.,have,has,,,have,主語が You なので s はつけない。
文法,二択,I ( ) a teacher.,am,are,,,am,主語が I のとき be 動詞は am。
文法,二択,( ) you like cats?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,He ( ) a student.,is,are,,,is,主語が単数なので is。
文法,二択,My mother ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,Ken and I ( ) good friends.,is,are,,,are,複数の主語なので are。
文法,二択,You ( ) from Osaka.,am,are,,,are,主語が you のとき be 動詞は are。
文法,二択,( ) you like science?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,Their teacher ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,We ( ) soccer.,play,plays,,,play,主語が We なので s はつけない。
文法,二択,They ( ) a bike.,have,has,,,have,主語が They なので s はつけない。
文法,二択,This is ( ) house.（私の）,my,your,,,my,「私の」は my。
文法,二択,This ( ) kind.,is,are,,,is,主語が単数なので is。
文法,二択,These books ( ) nice.,is,are,,,are,主語が複数なので are。
文法,二択,I ( ) like soccer.,don't,aren't,,,don't,一般動詞の否定は don't (do not)。
文法,二択,( ) you like soccer?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,We ( ) curry and rice.,cook,cooks,,,cook,主語が We なので s はつけない。
文法,二択,This is ( ) book.（私の）,my,your,,,my,「私の」は my。
文法,二択,You ( ) dogs.,like,likes,,,like,主語が You なので s はつけない。
文法,二択,They ( ) students.,is,are,,,are,複数の主語なので are。
文法,二択,You ( ) Japanese.,study,studies,,,study,主語が You なので s はつけない。
文法,二択,They ( ) Japanese.,study,studies,,,study,主語が They なので s はつけない。
文法,二択,This is ( ) notebook.（あなたの）,your,you,,,your,「あなたの」は your。
文法,二択,You ( ) music.,like,likes,,,like,主語が You なので s はつけない。
文法,二択,I ( ) a banana.,want,wants,,,want,主語が I なので s はつけない。
文法,二択,We ( ) a dog.,have,has,,,have,主語が We なので s はつけない。
文法,二択,We ( ) comics.,read,reads,,,read,主語が We なので s はつけない。
文法,二択,I ( ) books.,read,reads,,,read,主語が I なので s はつけない。
文法,二択,This is ( ) dog.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,( ) you like tennis?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,This is ( ) bike.（私の）,my,your,,,my,「私の」は my。
文法,二択,You ( ) science.,like,likes,,,like,主語が You なので s はつけない。
文法,二択,You ( ) kind.,am,are,,,are,主語が you のとき be 動詞は are。
文法,二択,She ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,You ( ) a book.,have,has,,,have,主語が You なので s はつけない。
文法,二択,I have two ( ).,cat,cats,,,cats,2つ以上は複数形。
文法,二択,I ( ) soccer.,play,plays,,,play,主語が I なので s はつけない。
文法,二択,They ( ) a cat.,have,has,,,have,主語が They なので s はつけない。
文法,二択,They ( ) water.,need,needs,,,need,主語が They なので s はつけない。
文法,二択,This ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,This is ( ) house.（あなたの）,your,you,,,your,「あなたの」は your。
文法,二択,I ( ) the piano.,play,plays,,,play,主語が I なので s はつけない。
文法,二択,My father ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,They ( ) music.,like,likes,,,like,主語が They なので s はつけない。
文法,二択,My father ( ) kind.,is,are,,,is,主語が単数なので is。
文の訳,4択,I like apples.,私はリンゴが好きです。,私たちはリンゴが好きです。,私はテニスが好きです。,私はリンゴが好きではありません。,私はリンゴが好きです。,
文の訳,4択,I like bananas.,私はバナナが好きです。,彼らはバナナが好きです。,私はリンゴが好きです。,私はバナナが好きではありません。,私はバナナが好きです。,
文の訳,4択,I like oranges.,私はオレンジが好きです。,彼らはオレンジが好きです。,私は数学が好きです。,私はオレンジが好きではありません。,私はオレンジが好きです。,
文の訳,4択,I like lemons.,私はレモンが好きです。,私たちはレモンが好きです。,私は英語が好きです。,私はレモンが好きではありません。,私はレモンが好きです。,
文の訳,4択,I like melons.,私はメロンが好きです。,彼らはメロンが好きです。,私はトラが好きです。,私はメロンが好きではありません。,私はメロンが好きです。,
文の訳,4択,I like peaches.,私はモモが好きです。,私たちはモモが好きです。,私は音楽が好きです。,私はモモが好きではありません。,私はモモが好きです。,
文の訳,4択,I like grapes.,私はブドウが好きです。,彼らはブドウが好きです。,私はネコが好きです。,私はブドウが好きではありません。,私はブドウが好きです。,
文の訳,4択,I love strawberries.,私はイチゴが大好きです。,私たちはイチゴが大好きです。,私はウマが大好きです。,私はイチゴが大好きではありません。,私はイチゴが大好きです。,
文の訳,4択,I like dogs.,私はイヌが好きです。,私たちはイヌが好きです。,私はメロンが好きです。,私はイヌが好きではありません。,私はイヌが好きです。,
文の訳,4択,I like cats.,私はネコが好きです。,彼らはネコが好きです。,私はメロンが好きです。,私はネコが好きではありません。,私はネコが好きです。,
文の訳,4択,I like rabbits.,私はウサギが好きです。,私たちはウサギが好きです。,私はサッカーが好きです。,私はウサギが好きではありません。,私はウサギが好きです。,
文の訳,4択,I like lions.,私はライオンが好きです。,彼らはライオンが好きです。,私は数学が好きです。,私はライオンが好きではありません。,私はライオンが好きです。,
文の訳,4択,I like tigers.,私はトラが好きです。,私たちはトラが好きです。,私は野球が好きです。,私はトラが好きではありません。,私はトラが好きです。,
文の訳,4択,I like pandas.,私はパンダが好きです。,私たちはパンダが好きです。,私はリンゴが好きです。,私はパンダが好きではありません。,私はパンダが好きです。,
文の訳,4択,I like monkeys.,私はサルが好きです。,彼らはサルが好きです。,私はトラが好きです。,私はサルが好きではありません。,私はサルが好きです。,
文の訳,4択,I like horses.,私はウマが好きです。,彼らはウマが好きです。,私は英語が好きです。,私はウマが好きではありません。,私はウマが好きです。,
文の訳,4択,I like birds.,私は鳥が好きです。,彼らは鳥が好きです。,私はレモンが好きです。,私は鳥が好きではありません。,私は鳥が好きです。,
文の訳,4択,I like soccer.,私はサッカーが好きです。,私たちはサッカーが好きです。,私はブドウが好きです。,私はサッカーが好きではありません。,私はサッカーが好きです。,
文の訳,4択,I like tennis.,私はテニスが好きです。,私たちはテニスが好きです。,私はメロンが好きです。,私はテニスが好きではありません。,私はテニスが好きです。,
文の訳,4択,I like baseball.,私は野球が好きです。,彼らは野球が好きです。,私は音楽が好きです。,私は野球が好きではありません。,私は野球が好きです。,
文の訳,4択,I like music.,私は音楽が好きです。,私たちは音楽が好きです。,私はウサギが好きです。,私は音楽が好きではありません。,私は音楽が好きです。,
文の訳,4択,I like art.,私は美術が好きです。,私たちは美術が好きです。,私はウマが好きです。,私は美術が好きではありません。,私は美術が好きです。,
文の訳,4択,I like English.,私は英語が好きです。,彼らは英語が好きです。,私はパンダが好きです。,私は英語が好きではありません。,私は英語が好きです。,
文の訳,4択,I like math.,私は数学が好きです。,彼らは数学が好きです。,私はイヌが好きです。,私は数学が好きではありません。,私は数学が好きです。,
文の訳,4択,I like science.,私は理科が好きです。,私たちは理科が好きです。,私はウマが好きです。,私は理科が好きではありません。,私は理科が好きです。,
文の訳,4択,We like apples.,私たちはリンゴが好きです。,私はリンゴが好きです。,私たちはブドウが好きです。,私たちはリンゴが好きではありません。,私たちはリンゴが好きです。,
文の訳,4択,We like bananas.,私たちはバナナが好きです。,彼らはバナナが好きです。,私たちはイヌが好きです。,私たちはバナナが好きではありません。,私たちはバナナが好きです。,
文の訳,4択,We like oranges.,私たちはオレンジが好きです。,彼らはオレンジが好きです。,私たちはイヌが好きです。,私たちはオレンジが好きではありません。,私たちはオレンジが好きです。,
文の訳,4択,We like lemons.,私たちはレモンが好きです。,彼らはレモンが好きです。,私たちはメロンが好きです。,私たちはレモンが好きではありません。,私たちはレモンが好きです。,
文の訳,4択,We like melons.,私たちはメロンが好きです。,彼らはメロンが好きです。,私たちはサッカーが好きです。,私たちはメロンが好きではありません。,私たちはメロンが好きです。,
文の訳,4択,We like peaches.,私たちはモモが好きです。,彼らはモモが好きです。,私たちはライオンが好きです。,私たちはモモが好きではありません。,私たちはモモが好きです。,
文の訳,4択,We like grapes.,私たちはブドウが好きです。,彼らはブドウが好きです。,私たちはネコが好きです。,私たちはブドウが好きではありません。,私たちはブドウが好きです。,
文の訳,4択,We like strawberries.,私たちはイチゴが好きです。,彼らはイチゴが好きです。,私たちはリンゴが好きです。,私たちはイチゴが好きではありません。,私たちはイチゴが好きです。,
文の訳,4択,We know the dog.,私たちはそのイヌを知っています。,私はそのイヌを知っています。,私たちはそのネコを知っています。,私はそのイヌを知っていません。,私たちはそのイヌを知っています。,
文の訳,4択,We know the cats.,私たちはネコが好きです。,私はネコが好きです。,私たちはサッカーが好きです。,私たちはネコが好きではありません。,私たちはネコが好きです。,
文の訳,4択,We know the rabbits.,私たちはウサギが好きです。,私はウサギが好きです。,私たちはブドウが好きです。,私たちはウサギが好きではありません。,私たちはウサギが好きです。,
文の訳,4択,We like lions.,私たちはライオンが好きです。,彼らはライオンが好きです。,私たちはバナナが好きです。,私たちはライオンが好きではありません。,私たちはライオンが好きです。,
文の訳,4択,We like tigers.,私たちはトラが好きです。,私はトラが好きです。,私たちはレモンが好きです。,私たちはトラが好きではありません。,私たちはトラが好きです。,
文の訳,4択,We like pandas.,私たちはパンダが好きです。,彼らはパンダが好きです。,私たちはブドウが好きです。,私たちはパンダが好きではありません。,私たちはパンダが好きです。,
文の訳,4択,We like monkeys.,私たちはサルが好きです。,私はサルが好きです。,私たちはウサギが好きです。,私たちはサルが好きではありません。,私たちはサルが好きです。,
文の訳,4択,We like horses.,私たちはウマが好きです。,私はウマが好きです。,私たちはブドウが好きです。,私たちはウマが好きではありません。,私たちはウマが好きです。,
文の訳,4択,We like birds.,私たちは鳥が好きです。,私は鳥が好きです。,私たちはモモが好きです。,私たちは鳥が好きではありません。,私たちは鳥が好きです。,
文の訳,4択,We like soccer.,私たちはサッカーが好きです。,私はサッカーが好きです。,私たちはウマが好きです。,私たちはサッカーが好きではありません。,私たちはサッカーが好きです。,
文の訳,4択,We like tennis.,私たちはテニスが好きです。,彼らはテニスが好きです。,私たちは数学が好きです。,私たちはテニスが好きではありません。,私たちはテニスが好きです。,
文の訳,4択,We like baseball.,私たちは野球が好きです。,彼らは野球が好きです。,私たちはパンダが好きです。,私たちは野球が好きではありません。,私たちは野球が好きです。,
文の訳,4択,We like music.,私たちは音楽が好きです。,彼らは音楽が好きです。,私たちはウサギが好きです。,私たちは音楽が好きではありません。,私たちは音楽が好きです。,
文の訳,4択,We like art.,私たちは美術が好きです。,私は美術が好きです。,私たちはテニスが好きです。,私たちは美術が好きではありません。,私たちは美術が好きです。,
文の訳,4択,We like English.,私たちは英語が好きです。,私は英語が好きです。,私たちはリンゴが好きです。,私たちは英語が好きではありません。,私たちは英語が好きです。,
文の訳,4択,We like math.,私たちは数学が好きです。,私は数学が好きです。,私たちはオレンジが好きです。,私たちは数学が好きではありません。,私たちは数学が好きです。,
文の訳,4択,We like science.,私たちは理科が好きです。,彼らは理科が好きです。,私たちはネコが好きです。,私たちは理科が好きではありません。,私たちは理科が好きです。,
文の訳,4択,They like apples.,彼らはリンゴが好きです。,私はリンゴが好きです。,彼らは美術が好きです。,彼らはリンゴが好きではありません。,彼らはリンゴが好きです。,
文の訳,4択,They like bananas.,彼らはバナナが好きです。,私たちはバナナが好きです。,彼らはモモが好きです。,彼らはバナナが好きではありません。,彼らはバナナが好きです。,
文の訳,4択,They like oranges.,彼らはオレンジが好きです。,私たちはオレンジが好きです。,彼らはブドウが好きです。,彼らはオレンジが好きではありません。,彼らはオレンジが好きです。,
文の訳,4択,They like lemons.,彼らはレモンが好きです。,私はレモンが好きです。,彼らは理科が好きです。,彼らはレモンが好きではありません。,彼らはレモンが好きです。,
文の訳,4択,They like melons.,彼らはメロンが好きです。,私たちはメロンが好きです。,彼らは理科が好きです。,彼らはメロンが好きではありません。,彼らはメロンが好きです。,
文の訳,4択,They like peaches.,彼らはモモが好きです。,私たちはモモが好きです。,彼らはライオンが好きです。,彼らはモモが好きではありません。,彼らはモモが好きです。,
文の訳,4択,They like grapes.,彼らはブドウが好きです。,私たちはブドウが好きです。,彼らはイヌが好きです。,彼らはブドウが好きではありません。,彼らはブドウが好きです。,
文の訳,4択,They like strawberries.,彼らはイチゴが好きです。,私たちはイチゴが好きです。,彼らはウサギが好きです。,彼らはイチゴが好きではありません。,彼らはイチゴが好きです。,
文の訳,4択,They like dogs.,彼らはイヌが好きです。,私はイヌが好きです。,彼らはブドウが好きです。,彼らはイヌが好きではありません。,彼らはイヌが好きです。,
文の訳,4択,They like cats.,彼らはネコが好きです。,私たちはネコが好きです。,彼らは野球が好きです。,彼らはネコが好きではありません。,彼らはネコが好きです。,
文の訳,4択,They like rabbits.,彼らはウサギが好きです。,私たちはウサギが好きです。,彼らはネコが好きです。,彼らはウサギが好きではありません。,彼らはウサギが好きです。,
文の訳,4択,They like lions.,彼らはライオンが好きです。,私たちはライオンが好きです。,彼らはテニスが好きです。,彼らはライオンが好きではありません。,彼らはライオンが好きです。,
文の訳,4択,They like tigers.,彼らはトラが好きです。,私はトラが好きです。,彼らは美術が好きです。,彼らはトラが好きではありません。,彼らはトラが好きです。,
文の訳,4択,They like pandas.,彼らはパンダが好きです。,私たちはパンダが好きです。,彼らは数学が好きです。,彼らはパンダが好きではありません。,彼らはパンダが好きです。,
文の訳,4択,They like monkeys.,彼らはサルが好きです。,私たちはサルが好きです。,彼らはメロンが好きです。,彼らはサルが好きではありません。,彼らはサルが好きです。,
文の訳,4択,They like horses.,彼らはウマが好きです。,私はウマが好きです。,彼らはバナナが好きです。,彼らはウマが好きではありません。,彼らはウマが好きです。,
文の訳,4択,They like birds.,彼らは鳥が好きです。,私たちは鳥が好きです。,彼らは理科が好きです。,彼らは鳥が好きではありません。,彼らは鳥が好きです。,
文の訳,4択,They like soccer.,彼らはサッカーが好きです。,私はサッカーが好きです。,彼らはレモンが好きです。,彼らはサッカーが好きではありません。,彼らはサッカーが好きです。,
文の訳,4択,They like tennis.,彼らはテニスが好きです。,私はテニスが好きです。,彼らはライオンが好きです。,彼らはテニスが好きではありません。,彼らはテニスが好きです。,
文の訳,4択,They like baseball.,彼らは野球が好きです。,私は野球が好きです。,彼らは鳥が好きです。,彼らは野球が好きではありません。,彼らは野球が好きです。,
文の訳,4択,They like music.,彼らは音楽が好きです。,私たちは音楽が好きです。,彼らはオレンジが好きです。,彼らは音楽が好きではありません。,彼らは音楽が好きです。,
文の訳,4択,They like art.,彼らは美術が好きです。,私たちは美術が好きです。,彼らはモモが好きです。,彼らは美術が好きではありません。,彼らは美術が好きです。,
文の訳,4択,They like English.,彼らは英語が好きです。,私たちは英語が好きです。,彼らは野球が好きです。,彼らは英語が好きではありません。,彼らは英語が好きです。,
文の訳,4択,They like math.,彼らは数学が好きです。,私は数学が好きです。,彼らはウサギが好きです。,彼らは数学が好きではありません。,彼らは数学が好きです。,
文の訳,4択,They like science.,彼らは理科が好きです。,私たちは理科が好きです。,彼らはサルが好きです。,彼らは理科が好きではありません。,彼らは理科が好きです。,
文の訳,4択,I have a book.,私は本を持っています。,私は本が好きです。,私は自転車を持っています。,私は本を持っていません。,私は本を持っています。,
文の訳,4択,I have a bag.,私はかばんを持っています。,私はかばんが好きです。,私は自転車を持っています。,私はかばんを持っていません。,私はかばんを持っています。,
文の訳,4択,I have a pen.,私はペンを持っています。,私はペンが好きです。,私はウサギを飼っています。,私はペンを持っていません。,私はペンを持っています。,
文の訳,4択,I have a notebook.,私はノートを持っています。,私はノートが好きです。,私は本を持っています。,私はノートを持っていません。,私はノートを持っています。,
文の訳,4択,I have a bike.,私は自転車を持っています。,私は自転車が好きです。,私はノートを持っています。,私は自転車を持っていません。,私は自転車を持っています。,
文の訳,4択,I have a dog.,私はイヌを飼っています。,私はイヌが好きです。,私はカメを飼っています。,私はイヌを飼っていません。,私はイヌを飼っています。,
文の訳,4択,I have a cat.,私はネコを飼っています。,私はネコが好きです。,私はノートを持っています。,私はネコを飼っていません。,私はネコを飼っています。,
文の訳,4択,I have a rabbit.,私はウサギを飼っています。,私はウサギが好きです。,私はカメを飼っています。,私はウサギを飼っていません。,私はウサギを飼っています。,
文の訳,4択,I have a bird.,私は鳥を飼っています。,私は鳥が好きです。,私はかばんを持っています。,私は鳥を飼っていません。,私は鳥を飼っています。,
文の訳,4択,I have a turtle.,私はカメを飼っています。,私はカメが好きです。,私はネコを飼っています。,私はカメを飼っていません。,私はカメを飼っています。,
文の訳,4択,I can play soccer.,私はサッカーができます。,私はサッカーをしません。,私はバドミントンができます。,私はサッカーが好きです。,私はサッカーができます。,
文の訳,4択,I can play tennis.,私はテニスができます。,私はテニスをしません。,私は野球ができます。,私はテニスが好きです。,私はテニスができます。,
文の訳,4択,I can play baseball.,私は野球ができます。,私は野球をしません。,私はバレーボールができます。,私は野球が好きです。,私は野球ができます。,
文の訳,4択,I can play basketball.,私はバスケットボールができます。,私はバスケットボールをしません。,私は野球ができます。,私はバスケットボールが好きです。,私はバスケットボールができます。,
文の訳,4択,I can play volleyball.,私はバレーボールができます。,私はバレーボールをしません。,私はバドミントンができます。,私はバレーボールが好きです。,私はバレーボールができます。,
文の訳,4択,I can play badminton.,私はバドミントンができます。,私はバドミントンをしません。,私は野球ができます。,私はバドミントンが好きです。,私はバドミントンができます。,
文の訳,4択,We can play soccer.,私たちはサッカーができます。,私たちはサッカーをしません。,私たちはバドミントンができます。,私たちはサッカーが好きです。,私たちはサッカーができます。,
文の訳,4択,We can play tennis.,私たちはテニスができます。,私たちはテニスをしません。,私たちは野球ができます。,私たちはテニスが好きです。,私たちはテニスができます。,
文の訳,4択,We can play baseball.,私たちは野球ができます。,私たちは野球をしません。,私たちはバスケットボールができます。,私たちは野球が好きです。,私たちは野球ができます。,
文の訳,4択,We can play basketball.,私たちはバスケットボールができます。,私たちはバスケットボールをしません。,私たちはバレーボールができます。,私たちはバスケットボールが好きです。,私たちはバスケットボールができます。,
文の訳,4択,We can play volleyball.,私たちはバレーボールができます。,私たちはバレーボールをしません。,私たちはテニスができます。,私たちはバレーボールが好きです。,私たちはバレーボールができます。,
文の訳,4択,We can play badminton.,私たちはバドミントンができます。,私たちはバドミントンをしません。,私たちは野球ができます。,私たちはバドミントンが好きです。,私たちはバドミントンができます。,
文の訳,4択,You can play soccer.,あなたはサッカーができます。,あなたはサッカーをしません。,あなたはバスケットボールができます。,あなたはサッカーが好きです。,あなたはサッカーができます。,
文の訳,4択,You can play tennis.,あなたはテニスができます。,あなたはテニスをしません。,あなたはバスケットボールができます。,あなたはテニスが好きです。,あなたはテニスができます。,
